top_explain	min_th	just_aaindex	scale_ids
20	0.8	False	LINS030119;LINS030112;LINS030114;GUYH850104;ZHOH040103;LINS030117;BIGC670101;JOND920101;JUKT750101;NAKH920101;CHAM830101;KANM800103;MAXF760101;PALJ810101;RICJ880112;AURR980110;QIAN880108;CHOP780202;LEVM780102;QIAN880120;ROBB760106;BURA740102;ISOY800102;RACS820106;CHOP780211;CHOP780101;LEVM780106;ROBB760113;PALJ810116;KLEP840101;YUTK870101;YUTK870103;RADA880107;OOBM850104;GRAR740102;PRAM900101;WOEC730101;CIDH920105;JURD980101;NADH010103;GUOD860101;MEEJ800102;SIMZ760101;CHAM820102;KOEH090112;WILM950103;KARS160107;KARS160106;CHAM830104;LEVM760105;VINM940101;PTIO830102
20	0.9	False	JANJ780101;LINS030107;LINS030112;LINS030114;BIOV880101;CHOC760103;NISK800101;LINS030117;LINS030101;TSAJ990101;FASG760101;JUKT750101;CEDJ970102;NAKH920101;FUKS010110;KUMS000103;GEIM800111;QIAN880130;QIAN880134;ROBB760112;CHOP780207;AURR980112;KANM800103;PALJ810101;PALJ810102;RICJ880112;ROBB760101;QIAN880106;QIAN880108;RACS820105;CHOP780209;KANM800102;PALJ810103;PALJ810110;PALJ810111;ROBB760106;BURA740102;ISOY800102;QIAN880122;GEIM800106;LIFS790101;LIFS790102;RACS820110;RACS820106;CHOP780211;CHOP780101;LEVM780106;LEWP710101;PALJ810114;PALJ810115;ROBB760113;PALJ810116;KLEP840101;CHAM830108;CHAM830107;HUTJ700103;OOBM770102;YUTK870101;YUTK870103;RADA880107;HOPA770101;OOBM850104;ENGD860101;HOPT810101;KOEH090102;KUHL950101;ARGP820101;CIDH920105;KYTJ820101;WILM950101;WILM950102;ZIMJ680101;MEEJ800102;MEEJ810102;EISD860101;LAWE840101;WIMW960101;CHAM820102;KOEH090112;WILM950103;KARS160114;KARS160106;KARS160115;CHAM830104;BHAR880101;PARS000102;KARP850101;KRIW710101;OOBM850105;OOBM850101;FAUJ880107
20	0.3	True	ZHOH040103;CHOC760101;CEDJ970104;PALJ810102;QIAN880107;KANM800102;TANS770103;CHOP780101;OOBM770101;WOEC730101;JURD980101;SIMZ760101;VINM940101
20	0.4	True	BIOV880101;CHOC760103;JANJ790101;CHOC760101;CEDJ970104;KANM800103;LEVM780101;TANS770101;QIAN880108;PALJ810103;PALJ810104;CHOP780101;LEVM780106;RADA880104;OOBM770101;LEVM760101;WOEC730101;CIDH920105;MEEJ800101;MEEJ810101;EISD860101;SIMZ760101;KARS160101;VINM940101
20	0.5	True	GUYH850104;CHOC760103;TSAJ990101;CEDJ970104;QIAN880133;KANM800101;KANM800103;QIAN880106;QIAN880108;KANM800102;ISOY800102;LIFS790101;CHOP780203;LEVM780103;ROBB760113;HUTJ700103;YUTK870101;PRAM900101;WOEC730101;CIDH920105;EISD840101;NADH010103;BROC820101;MEEJ800101;MEEJ810102;SIMZ760101;KARS160114;KARS160101;VINM940103;KRIW790101;BASU050102
20	0.6	True	GUYH850104;CHOC760103;TSAJ990101;CEDJ970104;QIAN880133;ROBB760112;KANM800101;KANM800103;QIAN880106;QIAN880108;CHOP780202;KANM800102;ISOY800102;CHOP780203;LEVM780103;ROBB760113;HUTJ700103;YUTK870101;PRAM900101;WOEC730101;CIDH920105;EISD840101;NADH010102;BROC820101;MEEJ810102;SIMZ760101;KARS160114;KARS160101;VINM940103;KRIW790101;BASU050102
20	0.7	True	GUYH850104;CHOC760103;TSAJ990101;JUKT750101;CEDJ970104;QIAN880133;KANM800101;KANM800103;RACS820108;QIAN880106;CHOP780202;KANM800102;LEVM780102;ISOY800102;RACS820106;CHOP780203;LEVM780103;ROBB760113;HUTJ700103;YUTK870101;OOBM850104;PRAM900101;WOEC730101;CIDH920105;EISD840101;NADH010103;BROC820101;MEEJ810102;SIMZ760101;CHAM820102;KARS160114;KARS160101;VINM940103;BASU050102
20	0.8	True	BIOV880101;CHOC760103;BIGC670101;FASG760101;DAYM780101;CEDJ970104;KUMS000103;NAGK730103;QIAN880130;QIAN880133;CHOP780207;ISOY800101;KANM800103;NAGK730101;RICJ880112;QIAN880108;KANM800102;LEVM780102;BURA740102;ISOY800102;LIFS790101;RACS820106;CHOP780101;LEVM780103;ROBB760113;KLEP840101;HUTJ700103;YUTK870101;YUTK870103;RADA880107;OOBM770101;OOBM850104;ENGD860101;WOEC730101;CIDH920105;NADH010103;BROC820101;MEEJ800101;MEEJ810102;EISD860101;SIMZ760101;CHAM820102;WILM950103;CHAM830106;LEVM760105;VINM940101;KRIW790101;BASU050102
20	0.9	True	JANJ780101;BIOV880101;ARGP820103;CHOC760103;NISK800101;RADA880106;ROSG850101;TSAJ990102;JUKT750101;CEDJ970102;NAKH920101;FUKS010110;KUMS000103;GEIM800110;NAGK730103;QIAN880130;QIAN880133;ROBB760112;CHOP780207;ISOY800101;KANM800103;LEVM780104;MAXF760101;RICJ880112;QIAN880106;QIAN880108;AURR980108;RACS820105;CHOP780202;CHOP780208;CHOP780209;CRAJ730102;KANM800102;LEVM780102;PALJ810110;PALJ810111;QIAN880118;QIAN880120;BURA740102;ISOY800102;QIAN880122;GEIM800106;LIFS790102;RACS820110;RACS820106;CHOP780211;LEWP710101;PALJ810114;PALJ810115;ROBB760113;CHOP780216;PALJ810116;KLEP840101;CHAM830108;FAUJ880112;CHAM830107;HUTJ700103;OOBM770102;YUTK870101;YUTK870103;RADA880104;OOBM850104;ENGD860101;KUHL950101;WOEC730101;CIDH920105;NADH010102;NADH010104;WILM950101;WILM950102;BROC820101;MEEJ800101;MEEJ810101;BROC820102;EISD860101;LAWE840101;SIMZ760101;WIMW960101;CHAM820102;WILM950103;KARS160114;KARS160107;KARS160106;CHAM830104;BHAR880101;PARS000102;VINM940101;KARP850101;KRIW710101;KRIW790101;OOBM850105;OOBM850101;FAUJ880107
25	0.3	False	LINS030104;LINS030112;LINS030101;FAUJ880103;CEDJ970104;NAKH900111;MIYS990104;KANM800101;KANM800103;QIAN880107;KANM800102;CHOP780101;LEVM780106;GRAR740102;WOEC730101;CIDH920102;NADH010103;MEEJ810102;RADA880101
25	0.4	False	LINS030104;LINS030112;BIOV880101;CHOC760103;LINS030101;ROSG850101;CHOC750101;CEDJ970102;CEDJ970104;NAKH900111;MIYS990102;MIYS990105;ISOY800101;KANM800103;PALJ810101;QIAN880108;TANS770103;LIFS790101;CHOP780211;CHOP780101;LEVM780106;ZASB820101;HOPT810101;KOEH090103;WOEC730101;CIDH920104;EISD840101;MEEJ810102;RADA880102;SIMZ760101;WILM950103;KARS160107;VINM940101;OOBM850101
25	0.5	False	JANJ780101;LINS030107;LINS030106;LINS030114;BIOV880101;CHOC760103;LINS030101;CHOC750101;JOND920101;NAKH920106;NAKH920108;FUKS010106;PUNT030102;MIYS990101;CHAM830101;KANM800103;MAXF760101;PALJ810101;QIAN880107;CHOP780202;LEVM780105;TANS770103;CHOP780101;HUTJ700103;CIDH920105;EISD840101;NADH010103;MEEJ800101;MEEJ810102;WILM950103;KARS160107;KRIW790101;OOBM850101
25	0.6	False	LINS030104;LINS030107;LINS030106;LINS030114;BIOV880101;CHOC760103;LINS030117;LINS030101;CHOC750101;JOND920101;NAKH920101;NAKH920108;FUKS010106;PUNT030102;MIYS990101;CHAM830101;KANM800103;MAXF760101;PALJ810101;QIAN880107;CHOP780202;LEVM780105;TANS770103;CHOP780101;PALJ810105;HUTJ700103;CIDH920105;EISD840101;NADH010102;MEEJ800101;MEEJ810102;WILM950103;KARS160101;KRIW790101
25	0.7	False	LINS030107;LINS030106;LINS030114;GUYH850104;BIOV880101;CHOC760103;NISK800101;LINS030117;LINS030101;BIGC670101;JUKT750101;CEDJ970102;CEDJ970105;FUKS010110;NAKH920108;FUKS010106;PUNT030101;MIYS990101;ROBB760112;BEGF750101;KANM800103;MAXF760101;PALJ810101;LEVM780102;PALJ810104;ROBB760106;ISOY800102;CHOP780101;LEVM780106;ROBB760113;KLEP840101;YUTK870101;KUHL950101;PRAM900101;WOEC730101;CIDH920105;EISD840101;NADH010102;MEEJ810102;RADA880102;SIMZ760101;KOEH090112;KARS160107;KARS160102;KARP850102;BASU050102
25	0.8	False	LINS030107;LINS030112;LINS030114;GUYH850104;BIOV880101;CHOC760103;LINS030117;BIGC670101;DAYM780101;CEDJ970102;FUKS010110;DIGM050101;NAKH900112;FUKS010106;PUNT030102;MIYS990101;GEIM800111;CHOP780207;KANM800103;MAXF760101;PALJ810101;RICJ880112;RACS820105;CHOP780202;LEVM780102;ROBB760106;ISOY800102;KANM800104;RACS820106;CHOP780211;CHOP780101;PALJ810105;ROBB760113;FAUJ880111;YUTK870101;YUTK870103;RADA880107;HOPT810101;PRAM900101;WOEC730101;CIDH920105;NADH010103;MEEJ810102;RADA880102;SIMZ760101;CHAM820102;KOEH090112;WILM950103;KARS160114;KARS160107;KARS160102;CHAM830104;LEVM760105;KARP850102
25	0.9	False	LINS030104;LINS030107;BIOV880101;CHOC760103;NISK800101;LINS030117;ROSG850101;TSAJ990102;FASG760101;JUKT750101;CEDJ970102;NAKH920101;KUMS000101;DIGM050101;FUKS010102;NAKH900103;KUMS000104;FUKS010106;MIYS990102;MIYS990105;QIAN880130;QIAN880133;QIAN880134;CHOP780207;AURR980111;KANM800103;PALJ810101;PALJ810102;QIAN880109;RICJ880112;ROBB760101;QIAN880106;RICJ880109;QIAN880104;RACS820105;CHOP780209;KANM800102;LEVM780102;PALJ810103;PALJ810110;PALJ810111;QIAN880120;ROBB760106;BURA740102;ISOY800102;QIAN880122;GEIM800106;LIFS790102;RACS820110;RACS820106;CHOP780211;CHOP780101;LEVM780103;LEWP710101;PALJ810114;PALJ810115;ROBB760113;CHOP780216;PALJ810116;KLEP840101;CHAM830108;FAUJ880112;CHAM830107;FAUJ880111;HUTJ700103;OOBM770102;YUTK870101;YUTK870103;RADA880105;MITS020101;GARJ730101;ZASB820101;MCMT640101;HOPA770101;OOBM770101;OOBM850104;ENGD860101;HOPT810101;KOEH090103;KUHL950101;CIDH920105;EISD840101;KYTJ820101;NADH010102;NADH010104;WILM950101;WILM950102;ZIMJ680101;BROC820101;MEEJ800101;MEEJ810102;BROC820102;LAWE840101;SIMZ760101;WIMW960101;CHAM820102;KOEH090112;WILM950103;KARS160114;KARS160102;CHAM830104;CHAM830105;LEVM760105;BHAR880101;VINM940102;KRIW710101;OOBM850105;OOBM850101;FAUJ880107
25	0.3	True	FAUJ880103;CEDJ970104;NAKH900111;MIYS990105;KANM800101;KANM800103;KANM800102;CHOP780101;LEVM780106;RADA880104;ENGD860101;CIDH920105;NADH010102;MEEJ800102;LEVM760105;VINM940101
25	0.4	True	JANJ780101;BIOV880101;FAUJ880103;CEDJ970104;NAKH920108;FUKS010106;MIYS990102;MIYS990104;ISOY800101;KANM800103;PALJ810102;QIAN880108;PALJ810103;LIFS790101;CHOP780101;LEVM780106;RADA880104;WOEC730101;KYTJ820101;MEEJ800101;MEEJ810102;SIMZ760101;KARS160106;VINM940101;BASU050102
25	0.5	True	GUYH850104;BIOV880101;CHOC760103;BIGC670101;JOND920101;NAKH920101;FUKS010112;NAKH920108;FUKS010106;MIYS990101;MIYS990105;LEVM780101;NAGK730101;PALJ810102;QIAN880106;QIAN880108;CHOP780202;QIAN880120;ISOY800102;ROBB760105;CHOP780101;LEVM780103;RADA880104;MITS020101;ZASB820101;HOPA770101;ROSM880101;CIDH920105;NADH010102;MEEJ810102;RADA880102;SIMZ760101;KARS160101;LEVM760105;VINM940102
25	0.6	True	JANJ780101;BIOV880101;CHOC760103;BIGC670101;JOND920101;NAKH920101;FUKS010112;NAKH920108;FUKS010106;MIYS990101;MIYS990105;ROBB760112;LEVM780101;NAGK730101;PALJ810102;QIAN880106;QIAN880108;RACS820105;CHOP780202;QIAN880120;ISOY800102;ROBB760105;CHOP780101;LEVM780103;RADA880104;ZASB820101;HOPA770101;ROSM880101;CIDH920105;MEEJ810102;EISD860101;SIMZ760101;WILM950103;KARS160101;LEVM760105;VINM940102
25	0.7	True	GUYH850104;BIOV880101;BIGC670101;FASG760101;CEDJ970102;CEDJ970105;KUMS000102;FUKS010108;FUKS010106;GUYH850102;MIYS990101;MIYS990105;CHOP780207;KANM800103;LEVM780104;ROBB760101;CHOP780202;LEVM780102;ISOY800102;RACS820106;CHOP780101;LEVM780103;ROBB760113;KLEP840101;YUTK870101;YUTK870103;RADA880104;KUHL950101;PRAM900101;WOEC730101;CIDH920105;KYTJ820101;NADH010102;MEEJ810102;SIMZ760101;CHAM820102;KARS160114;KARS160102;CHAM830104
